,ID,Counties,Poverty20,Poverty21,Income20,Income21,Density,Gini20,Gini21,Age,Sex,PercW,VacPop_1,VacPop_2,VacPop_3,VacPop_4,VacPop_5,VacPop_6,VacPop_7,VacPop_8,VacPop_9,VacPop_10,VacPop_11,VacPop_12,VacPop_13,VacPop_14,VacPop_15,VacPop_16,VacPop_17,VacPop_18,VacPop_19,VacPop_20,VacPop_21,VacPop_22,VacPop_23,VacPop_24,VacPop_25,VacPop_26,VacPop_27,VacPop_28,VacPop_29,VacPop_30,VacPop_31,VacPop_32,VacPop_33,VacPop_34,VacPop_35,VacPop_36,VacPop_37,VacPop_38,VacPop_39,VacPop_40,VacPop_41,VacPop_42,VacPop_43,VacPop_44,VacPop_45,VacPop_46,VacPop_47,VacPop_48,VacPop_49,VacPop_50,VacPop_51,VacPop_52,VacPop_53,VacPop_54,VacPop_55,VacPop_56,VacPop_57,VacPop_58,VacPop_59,VacPop_60,VacPop_61,VacPop_62,VacPop_63,VacPop_64,VacPop_65,VacPop_66,VacPop_67,VacPop_68,VacPop_69,VacPop_70,VacPop_71,VacPop_72,VacPop_73,VacPop_74,VacPop_75,VacPop_76,VacPop_77,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,SMR_1,SMR_2,SMR_3,SMR_4,SMR_5,SMR_6,SMR_7,SMR_8,SMR_9,SMR_10,SMR_11,SMR_12,SMR_13,SMR_14,SMR_15,SMR_16,SMR_17,SMR_18,SMR_19,SMR_20,SMR_21,SMR_22,SMR_23,SMR_24,SMR_25,SMR_26,SMR_27,SMR_28,SMR_29,SMR_30,SMR_31,SMR_32,SMR_33,SMR_34,SMR_35,SMR_36,SMR_37,SMR_38,SMR_39,SMR_40,SMR_41,SMR_42,SMR_43,SMR_44,SMR_45,SMR_46,SMR_47,SMR_48,SMR_49,SMR_50,SMR_51,SMR_52,SMR_53,SMR_54,SMR_55,SMR_56,SMR_57,SMR_58,SMR_59,SMR_60,SMR_61,SMR_62,SMR_63,SMR_64,SMR_65,SMR_66,SMR_67,SMR_68,SMR_69,SMR_70,SMR_71,SMR_72,SMR_73,SMR_74,SMR_75,SMR_76,SMR_77
1,001,1,-1.047045054,-1.069620635,1.775853746,1.538534813,0.610516816,0.170436065,0.205843604,-0.309260608,-0.447063725,0.280724081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9315991709997e-06,2.0167437181399e-05,2.84716760207986e-05,2.96579958549985e-05,3.08443156891984e-05,3.14374756062984e-05,3.32169553575983e-05,3.79622346943981e-05,5.57570322073972e-05,5.75365119586971e-05,0.007625664,0.017358232,0.042326112,0.080259282,0.141726072,0.223326488,0.312793985,0.377317328,0.472956653,0.552284674,0.588026118,0.62111851,0.637814775,0.650126996,0.659238525,0.668821617,0.680807599,0.691975021,0.701450751,0.708438174,0.714787951,0.72057304,0.725838521,0.742642148,0.762476229,0.771466754,0.781656055,0.789263331,0.796550301,0.801427855,0.804765565,0.806796545,0.808485271,0.810022149,0.811457596,0.81281178,0.814092412,0.815230686,0.816199909,0.817172098,0.820468881,0.82299337,0.824855299,0.826138304,0.827964643,0.82935323,0.830472523,0.831466066,0.832310726,0.833029635,0.833634659,0.834165537,0,0,0,2,16,35,20,20,11,13,21,21,23,38,42,59,38,23,10,16,16,15,60,153,49,165,131,109,51,25,23,16,12,13,11,11,5,4,4,24,34,33,40,37,23,17,21,11,10,15,19,41,92,87,42,24,10,9,10,8,13,8,16,20,14,22,19,21,7,9,5,9,12,12,11,18,17,0,0,0,0.835193306,0.827930755,0.876952971,0.429269779,0.428883049,0.259755061,0.313514812,0.479715157,0.351274205,0.281186036,0.450679796,0.575879255,1.040279662,0.876467394,0.656437904,0.364517752,0.573566487,0.470764088,0.233974534,0.422538625,0.417548774,0.468412631,0.411170071,0.436477353,0.543470466,0.44191972,0.428419892,0.670918152,0.73381146,0.714090277,0.96699725,0.918712637,1.201069273,0.767839007,0.560070805,0.391819082,1.210322503,0.785730401,0.462602653,0.494351178,0.515035872,0.398739412,0.386117516,0.477880682,0.243565676,0.253223502,0.384746916,0.434862668,0.430491124,0.604103958,0.626584509,0.560384746,0.629154429,0.53852962,0.802348625,1.161122401,1.088137564,1.322389401,0.692451177,0.994381586,1.002231967,0.566738315,0.737558032,0.709979867,0.997730925,0.364597515,0.596732822,0.419067064,0.9314221,1.205215657,1.151758511,0.666241988,0.718882829,0.767839007
2,003,2,0.576562333,0.548322233,-0.431193467,0.560787902,-0.282588764,-0.384669571,-1.058795791,1.360069464,1.245558174,0.665282392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005371531,0.007162041,0.113697404,0.18263205,0.205013429,0.229185318,0.369740376,0.420769919,0.470008953,0.488809311,0.496866607,0.502238138,0.504923903,0.505819158,0.505819158,0.507609669,0.508504924,0.511190689,0.512085944,0.5129812,0.5129812,0.518352731,0.522829006,0.528200537,0.529991047,0.530886303,0.537153089,0.539838854,0.540734109,0.541629364,0.543419875,0.543419875,0.545210385,0.545210385,0.54610564,0.54789615,0.54789615,0.549686661,0.551477171,0.552372426,0.554162936,0.554162936,0.554162936,0.554162936,0.555953447,0.555953447,0.555953447,0.555953447,0.555953447,0.555953447,0.555953447,0.555953447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,005,3,-0.562811272,-0.639854561,-0.269008664,-0.326041933,-0.257846487,-0.039107122,-0.138724811,1.60555918,1.396543226,0.734422098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19062572993174e-05,0.005839454,0.0194908,0.044665334,0.093327451,0.149905271,0.217746749,0.284965353,0.340556954,0.386260414,0.417092731,0.436323999,0.452648517,0.460668034,0.468090628,0.47465677,0.480911474,0.491396538,0.504347149,0.51605201,0.524434871,0.530378137,0.53629545,0.541122732,0.545742389,0.550543718,0.553372609,0.557317485,0.560561626,0.563105032,0.56507747,0.566530845,0.567698736,0.568814721,0.569852846,0.570787158,0.571851237,0.572500065,0.573408424,0.573797721,0.574342737,0.574939659,0.575510628,0.57610755,0.576315175,0.576626612,0.57686019,0.576964003,0.577041862,0.577197581,0.577275441,0.577379253,0.577483066,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1,0,0,0,0,0,0,4,5,0,6,6,4,2,2,1,1,0,0,0,0,0,1,0,0,1,5,5,3,2,0,2,0,3,1,1,2,1,5,5,2,0,0,0,0,0,1,0,1,0,1,0,2,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.189223976,2.999646463,0.771464631,0,0,0,0,0,0,1.232517458,0.597040388,0,0.654194254,0.87470094,0.872624426,0.7582652,1.499607274,1.276320162,2.006699908,0,0,0,0,0,6.126336777,0,0,1.011142963,3.066776361,2.703731184,1.827153074,1.517082669,0,1.991352298,0,3.32386357,1.122281522,1.001420435,0.918815397,0.28730407,1.575608551,2.918938487,2.294002758,0,0,0,0,0,3.787190008,0,2.192583689,0,1.466869369,0,4.157593821,0,8.703152524,0,0,4.394418785,0,2.650069344,0,1.97623767
4,007,4,1.431092537,0.750565091,-0.873900749,-0.562563392,-0.2311585,1.372552243,1.129580205,-0.538384344,-0.391437653,0.659876578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59202182128769e-06,1.83680872851508e-05,2.29601091064385e-05,2.29601091064385e-05,2.75521309277262e-05,2.75521309277262e-05,2.75521309277262e-05,5.969628367674e-05,5.969628367674e-05,0.010892276,0.022973885,0.054498115,0.097167182,0.15360313,0.182372147,0.239983652,0.292415358,0.325872829,0.354099987,0.371985912,0.38928865,0.400525327,0.409658859,0.417727041,0.426796284,0.439180967,0.45127176,0.465098338,0.475393651,0.48315876,0.489605959,0.495460786,0.502132994,0.50916338,0.513227319,0.518723969,0.523100166,0.526672759,0.529763189,0.532031648,0.533524055,0.534662877,0.535659345,0.536614486,0.537422682,0.538207918,0.538823248,0.539447763,0.540021766,0.540650873,0.541408557,0.54214328,0.542625443,0.542988212,0.543465783,0.543787224,0.544149994,0.544466843,0.544659708,0.544971966,0.545141871,0,0,0,0,0,0,0,0,1,0,1,2,4,9,11,11,8,5,4,3,3,6,24,32,11,20,16,9,2,8,3,1,0,1,4,0,2,1,0,4,9,15,21,22,25,18,8,10,13,11,4,5,19,17,18,6,0,2,3,2,3,1,8,4,2,2,2,1,5,0,3,2,0,0,6,4,4,0,0,0,0,0,0,0,0,0.182811486,0,0.176846428,0.258993645,0.378580336,0.82634071,1.167634656,1.501491676,1.428480453,1.104760062,1.128783941,0.832563155,0.683339846,0.724537268,1.308454284,0.676079719,0.814061752,0.385833288,0.412707678,0.347395435,0.134163799,1.061333209,0.677477862,0.355055835,0,0.575856182,2.586301451,0,2.377728753,1.083964579,0,1.561643885,1.610160976,1.627862,2.009217833,2.37077633,3.355316431,3.165011079,1.409361211,1.714176543,2.548469914,2.184282071,0.708746071,0.406426948,0.965849818,0.947854049,1.859266598,1.217669461,0,1.380329426,2.696692367,2.105988324,2.362486902,0.670087194,3.849064823,1.551780871,0.626782239,0.519081629,0.578568221,0.367812332,2.016126678,0,1.94655611,1.602382421,0,0,2.813343182,1.23673811,1.398663973
5,009,5,-0.192514851,-0.033125985,-0.350664364,-0.319691443,-0.266205991,-1.244899497,-0.919502177,2.031074689,-0.351704744,0.765433189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2578969947391e-05,2.2578969947391e-05,2.2578969947391e-05,2.2578969947391e-05,2.2578969947391e-05,2.2578969947391e-05,6.7736909842173e-05,0.000135474,0.006276954,0.014518278,0.030978347,0.079906975,0.151617783,0.208336156,0.278014857,0.306712728,0.365801892,0.392919235,0.410553411,0.428187586,0.436270857,0.442931653,0.450156924,0.458556301,0.470252207,0.482806114,0.496014812,0.505814085,0.512181354,0.518051886,0.52236447,0.526767369,0.530944478,0.53376685,0.536837589,0.539524487,0.543317754,0.545507914,0.547359389,0.54844318,0.549572129,0.551107498,0.552281605,0.553523448,0.554336291,0.555081397,0.555555556,0.556142609,0.556797399,0.55720382,0.557790874,0.5580844,0.558513401,0.558648874,0.558716611,0.558852085,0.559010138,0.559100454,0.55919077,0.559258507,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,4,3,2,2,0,0,3,6,0,9,2,4,4,0,0,1,1,2,1,0,1,1,0,2,2,4,5,5,6,2,2,4,1,2,2,3,7,4,9,2,0,0,1,0,2,2,0,4,1,3,1,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.46536985,0.451457448,0.52193266,5.369333912,3.511918983,3.259262941,2.775115154,2.72914186,0,0,0.804208667,0.623303209,0,0.853713974,0.253660442,0.759174778,1.319366724,0,0,1.745809437,2.265187744,5.66296936,3.179210869,0,5.845645791,5.329853516,0,3.839301261,1.759369122,2.134452527,2.35221988,2.649342391,3.959541578,1.72915095,1.732457166,3.371442224,0.963909678,1.952748055,1.742452111,1.199040711,1.749662258,1.096611313,4.571006659,1.995760127,0,0,4.419878525,0,7.744231604,6.589637074,0,7.630106086,1.540944044,3.828486328,1.422409886,0,0,2.523886066,3.190405273,0,0,0,2.3055346,1.520260231,3.438615171
6,011,6,-0.562811272,-0.564013489,-0.66192039,-0.665678891,-0.275504654,0.115293121,0.411118404,-0.702044155,0.09330383,0.317825908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001239322,0.005798256,0.019652105,0.044527066,0.099278538,0.147346523,0.209755234,0.25782322,0.293055371,0.340592219,0.366131103,0.389811003,0.402868145,0.413579427,0.422298942,0.433629885,0.449475501,0.467489931,0.485327314,0.495728766,0.504182711,0.51183995,0.51834639,0.526003629,0.534236268,0.540654185,0.549329438,0.556322755,0.561766919,0.567520914,0.57154871,0.573629,0.574956845,0.576373213,0.577701058,0.578896118,0.579781348,0.580312486,0.581507547,0.582038685,0.582569823,0.583322268,0.58367636,0.584030452,0.584163236,0.584517328,0.584915682,0.585136989,0.585491081,0.585579604,0.585800912,0.585845173,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,1,1,1,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.736789972,1.769981756,1.023143256,0,0,0,0,0,0,1.163942786,0.525496063,0.20364328,0,0.185948146,0.745874871,0.372052093,0,1.278744919,0,3.422305765,0,0,0,0,0,0,0,0,0,0,0,3.116099459,0,0,1.698065671,1.652257388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.739319351,0,0,0,0,0,0,0,0,0,0,0,0,0
7,013,7,-1.445825816,-1.221302779,1.458874611,1.612730457,0.349406909,0.306455326,0.378127811,0.001693033,-0.542422705,0.390608503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20679355813599e-05,2.93078435547311e-05,4.05137837374224e-05,4.22377745347595e-05,4.22377745347595e-05,4.56857561294338e-05,4.82717423254395e-05,5.25817193187823e-05,6.37876595014736e-05,6.80976364948164e-05,0.009477639,0.021867961,0.049825058,0.103979057,0.160723352,0.23339215,0.310059745,0.403365575,0.496805014,0.555248302,0.588673898,0.621162504,0.635725054,0.647605937,0.657055131,0.66763009,0.681843532,0.695291523,0.707683568,0.717291369,0.727412057,0.735677731,0.74178152,0.757280198,0.774624407,0.782769402,0.792530637,0.800607534,0.807204385,0.811976392,0.815051129,0.816920797,0.818394809,0.819723144,0.820745471,0.821927267,0.822919423,0.823869342,0.82467617,0.82544076,0.827916411,0.829746427,0.831055798,0.832039335,0.833577134,0.834809788,0.83584763,0.836589808,0.837241477,0.837772466,0.83819743,0.838550848,0,0,0,2,5,16,7,7,5,12,25,19,20,41,24,26,19,17,7,9,6,13,33,130,28,100,91,58,36,18,7,10,12,4,7,6,2,2,9,17,21,44,42,41,24,12,19,11,9,7,11,34,59,59,33,15,8,2,3,7,15,15,15,20,16,18,11,11,11,12,7,11,8,5,4,15,9,0,0,0,1.213724606,0.375990775,0.582587811,0.218339097,0.218142395,0.171583092,0.42056111,0.829922055,0.46186358,0.355327697,0.706645342,0.478218681,0.66619995,0.636852591,0.70509541,0.370808666,0.468855966,0.256547475,0.294682154,0.337724258,0.515575518,0.388976801,0.362135168,0.440620768,0.42025278,0.453324152,0.448265459,0.296737817,0.666496171,1.037734538,0.432389391,0.849607224,0.952050035,0.446337436,0.406954721,1.281153751,1.245867737,0.705256482,0.896354921,0.754324171,0.829378481,0.604652316,0.396081885,0.628328752,0.353955967,0.331191874,0.260924632,0.365867946,0.518790976,0.563000807,0.617512231,0.63985874,0.571439724,0.626084186,0.259109747,0.50621197,1.383646051,2.217381492,1.886790069,1.354744828,1.456469527,0.941255817,0.876958765,0.597335422,0.759486355,0.832609768,1.156250182,0.852598799,1.654359409,1.167633798,0.697402243,0.352072786,0.870582666,0.590740724
8,015,8,1.772904618,1.964022241,-1.201785336,-1.24211143,-0.272473552,-0.116307244,-0.508952576,0.034424995,0.872068835,0.58616588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25742071267871e-05,7.25742071267871e-05,7.25742071267871e-05,7.25742071267871e-05,0.000145148,0.000145148,0.000145148,0.000145148,0.000145148,0.00388272,0.012228754,0.02993686,0.056245011,0.083133754,0.12929095,0.182233834,0.224943755,0.269830902,0.294070687,0.308549242,0.327273387,0.336526598,0.343784019,0.350424559,0.359605196,0.371071921,0.388961463,0.405399521,0.416975107,0.425284854,0.431997968,0.437259598,0.443464693,0.451593004,0.456818347,0.462733145,0.467668191,0.471841208,0.474780463,0.476848828,0.478917193,0.480767835,0.482945061,0.484795704,0.485993178,0.486900356,0.487698672,0.488460701,0.488932433,0.489440453,0.490129908,0.49110966,0.49172654,0.492016837,0.492415995,0.492815153,0.493032876,0.493178025,0.493286886,0.493540896,0.493686044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,0,0,1,0,1,7,9,8,4,3,0,0,0,0,1,0,0,2,0,2,3,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838808171,0,0,0,0,0,0,0,0.430819818,0,0,0,0.203831325,0.305021153,0.530095007,0,0,5.611448882,3.640427462,0,0,0,0,8.565711675,0,3.085108019,9.896307664,7.718220768,6.048477611,3.406247918,3.181728299,0,0,0,0,1.569149768,0,0,0.803404681,0,1.632478683,4.811137615,0,0,0,0,6.222952927,5.295167218,3.802013015,3.065623126,0,0,2.285982708,2.906528912,0,0,0,0,0,0,3.705269682,0,0
9,017,9,-1.104013735,-1.221302779,0.616541091,0.566224652,-0.23897944,0.343217289,0.550412019,1.032749842,-0.296078673,0.733012527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1787175423878e-06,1.03574350847756e-05,1.03574350847756e-05,2.5893587711939e-05,3.10723052543268e-05,3.10723052543268e-05,3.62510227967146e-05,3.62510227967146e-05,4.66084578814902e-05,5.69658929662658e-05,8.28594806782049e-05,0.008384344,0.019430548,0.051673244,0.096764337,0.150933723,0.201881946,0.266201618,0.323374659,0.367616443,0.417948399,0.445944546,0.470595242,0.482542543,0.491496546,0.499337124,0.508467203,0.521061844,0.530901408,0.541885467,0.549430859,0.555163699,0.56117619,0.566406695,0.574656392,0.583232348,0.587919088,0.593796932,0.598147055,0.602134667,0.604630809,0.60644336,0.607686253,0.608830749,0.609938995,0.610990274,0.612005303,0.612916757,0.613786782,0.61452216,0.615164321,0.616091311,0.616723115,0.617334203,0.617919398,0.618369947,0.6187221,0.619032823,0.619343546,0.619618018,0.619845881,0.619980528,0.62009446,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,3,7,32,9,27,14,8,4,1,0,0,1,2,1,0,1,2,2,4,0,7,11,9,5,7,6,4,2,4,5,10,6,5,3,3,3,1,0,1,2,2,5,1,2,4,0,1,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106737332,0.10354638,0,0.153938952,0.201373629,0,0,0,0,0.408553574,0.430391448,0.762458463,0.751147897,0.587424078,0.407257305,0.34824899,0.302610244,0.149616692,0,0,0.519543962,1.298859905,0.729184508,0,1.340758612,2.444912763,1.710432797,1.761165973,0,0.856727382,1.186912478,1.093776762,0.75680111,1.388094555,1.192070276,0.773274734,0.442165074,0.895765452,0.999123004,0.916707476,0.343973934,0.314398767,0.349469033,0.686621976,1.410526594,0.778343014,0,1.187529056,1.776218674,1.511400617,2.713023301,0.437510705,0.706862534,1.170803295,0,0.414805559,0.454743074,0,0,0,1.753734893,0,0.528797926,0.348687223,0
10,019,10,1.374123857,1.458415095,-0.572739026,-0.555344851,-0.215455269,0.740246486,0.587068233,-1.193023588,-0.248399183,0.26955626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68779154197672e-07,9.68779154197672e-07,9.68779154197672e-07,2.90633746259301e-06,3.87511661679069e-06,6.7814540793837e-06,1.84068039297558e-05,1.93755830839534e-05,0.005542386,0.013073675,0.040250836,0.061075713,0.09022434,0.151885196,0.229843823,0.28448878,0.322116162,0.35130451,0.371799033,0.393645971,0.405658833,0.417408186,0.426947755,0.437866865,0.454441707,0.471990173,0.488823679,0.500696068,0.51010582,0.518943023,0.526260212,0.536934221,0.547456131,0.555418527,0.563635712,0.571394664,0.578482252,0.583858008,0.587524837,0.590257763,0.592437516,0.594096066,0.595427169,0.596630392,0.597645673,0.598672579,0.59961617,0.600559761,0.601688388,0.602870299,0.603921424,0.604712917,0.605451127,0.605997518,0.606462532,0.606882982,0.607232711,0.60751947,0.607855636,0.608173396,0,0,0,0,3,4,5,17,22,21,13,29,61,75,86,58,36,26,15,18,17,56,143,245,69,228,158,111,86,34,27,20,13,18,15,9,6,8,8,9,36,72,89,85,74,52,66,74,59,44,27,41,82,78,57,30,17,5,8,5,3,8,7,7,17,15,16,8,14,13,5,2,7,12,11,16,18,0,0,0,0,0.253541046,0.163689658,0.175276347,0.595402696,0.848490537,0.827155185,0.485020938,0.792278649,1.218004065,1.452776296,1.925899341,1.670240766,1.35614978,1.211970786,0.893023592,1.053875431,0.81693077,1.426652979,1.644766271,1.092030721,1.077294885,0.927951734,0.859806047,0.903910473,1.21709547,0.95161554,1.286347953,1.498123071,1.263479545,2.18679152,2.04612072,1.604984602,1.504888788,1.829472644,1.279877981,0.741285261,1.35878308,1.64846475,1.796464246,1.932447347,2.09529915,1.928976404,2.452997498,2.676135565,2.440107795,1.843272545,1.009288394,0.70310015,0.879408574,0.917504057,1.242123733,1.284459042,1.495242065,0.728020481,1.517123656,1.110751248,0.498414022,1.130946725,0.710532783,0.572913802,1.123974477,0.821330148,0.976484614,0.620779141,1.190958669,1.407776651,0.68444179,0.338054728,1.148244961,1.881110985,1.088140536,1.043658891,1.327843048
