"","Year","ID","Name","Percent.in.Poverty"
"1",2019,6001,"Alameda County",8.9
"2",2019,6003,"Alpine County",17.2
"3",2019,6005,"Amador County",9.8
"4",2019,6007,"Butte County",16.1
"5",2019,6009,"Calaveras County",12.1
"6",2019,6011,"Colusa County",12
"7",2019,6013,"Contra Costa County",7.9
"8",2019,6015,"Del Norte County",17.9
"9",2019,6017,"El Dorado County",8.7
"10",2019,6019,"Fresno County",20.5
"11",2019,6021,"Glenn County",12.1
"12",2019,6023,"Humboldt County",19.1
"13",2019,6025,"Imperial County",22
"14",2019,6027,"Inyo County",11.7
"15",2019,6029,"Kern County",19
"16",2019,6031,"Kings County",16
"17",2019,6033,"Lake County",18.3
"18",2019,6035,"Lassen County",16.5
"19",2019,6037,"Los Angeles County",13.4
"20",2019,6039,"Madera County",17.6
"21",2019,6041,"Marin County",6.9
"22",2019,6043,"Mariposa County",15.1
"23",2019,6045,"Mendocino County",14
"24",2019,6047,"Merced County",17
"25",2019,6049,"Modoc County",20.5
"26",2019,6051,"Mono County",10.1
"27",2019,6053,"Monterey County",12.6
"28",2019,6055,"Napa County",7.4
"29",2019,6057,"Nevada County",9.4
"30",2019,6059,"Orange County",9.5
"31",2019,6061,"Placer County",6.6
"32",2019,6063,"Plumas County",13.2
"33",2019,6065,"Riverside County",11.3
"34",2019,6067,"Sacramento County",12.6
"35",2019,6069,"San Benito County",10.4
"36",2019,6071,"San Bernardino County",13.3
"37",2019,6073,"San Diego County",10.3
"38",2019,6075,"San Francisco County",9.5
"39",2019,6077,"San Joaquin County",13.6
"40",2019,6079,"San Luis Obispo County",11.6
"41",2019,6081,"San Mateo County",6.1
"42",2019,6083,"Santa Barbara County",12
"43",2019,6085,"Santa Clara County",6.1
"44",2019,6087,"Santa Cruz County",10.6
"45",2019,6089,"Shasta County",13.3
"46",2019,6091,"Sierra County",12.7
"47",2019,6093,"Siskiyou County",17.4
"48",2019,6095,"Solano County",9
"49",2019,6097,"Sonoma County",7.2
"50",2019,6099,"Stanislaus County",13
"51",2019,6101,"Sutter County",12.8
"52",2019,6103,"Tehama County",16.3
"53",2019,6105,"Trinity County",16.5
"54",2019,6107,"Tulare County",18.9
