"","Time","County","SMR"
"1",1,"Alameda",0
"2",1,"Alpine",0
"3",1,"Amador",0
"4",1,"Butte",0
"5",1,"Calaveras",0
"6",1,"Colusa",0
"7",1,"Contra Costa",0
"8",1,"Del Norte",0
"9",1,"El Dorado",0
"10",1,"Fresno",0
"11",1,"Glenn",0
"12",1,"Humboldt",0
"13",1,"Imperial",0
"14",1,"Inyo",0
"15",1,"Kern",0
"16",1,"Kings",0
"17",1,"Lake",0
"18",1,"Lassen",0
"19",1,"Los Angeles",0
"20",1,"Madera",0
"21",1,"Marin",0
"22",1,"Mariposa",0
"23",1,"Mendocino",0
"24",1,"Merced",0
"25",1,"Modoc",0
"26",1,"Mono",0
"27",1,"Monterey",0
"28",1,"Napa",0
"29",1,"Nevada",0
"30",1,"Orange",0
"31",1,"Placer",0
"32",1,"Plumas",0
"33",1,"Riverside",0
"34",1,"Sacramento",0
"35",1,"San Benito",0
"36",1,"San Bernardino",0
"37",1,"San Diego",0
"38",1,"San Francisco",0
"39",1,"San Joaquin",0
"40",1,"San Luis Obispo",0
"41",1,"San Mateo",0
"42",1,"Santa Barbara",0
"43",1,"Santa Clara",20.3951341365176
"44",1,"Santa Cruz",0
"45",1,"Shasta",0
"46",1,"Sierra",0
"47",1,"Siskiyou",0
"48",1,"Solano",0
"49",1,"Sonoma",0
"50",1,"Stanislaus",0
"51",1,"Sutter",0
"52",1,"Tehama",0
"53",1,"Trinity",0
"54",1,"Tulare",0
"55",1,"Tuolumne",0
"56",1,"Ventura",0
"57",1,"Yolo",0
"58",1,"Yuba",0
"59",2,"Alameda",0
"60",2,"Alpine",0
"61",2,"Amador",0
"62",2,"Butte",0
"63",2,"Calaveras",0
"64",2,"Colusa",0
"65",2,"Contra Costa",0
"66",2,"Del Norte",0
"67",2,"El Dorado",0
"68",2,"Fresno",0
"69",2,"Glenn",0
"70",2,"Humboldt",0
"71",2,"Imperial",0
"72",2,"Inyo",0
"73",2,"Kern",0
"74",2,"Kings",0
"75",2,"Lake",0
"76",2,"Lassen",0
"77",2,"Los Angeles",0
"78",2,"Madera",0
"79",2,"Marin",0
"80",2,"Mariposa",0
"81",2,"Mendocino",0
"82",2,"Merced",0
"83",2,"Modoc",0
"84",2,"Mono",0
"85",2,"Monterey",0
"86",2,"Napa",0
"87",2,"Nevada",0
"88",2,"Orange",0
"89",2,"Placer",0
"90",2,"Plumas",0
"91",2,"Riverside",0
"92",2,"Sacramento",0
"93",2,"San Benito",0
"94",2,"San Bernardino",9.04870483332266
"95",2,"San Diego",0
"96",2,"San Francisco",0
"97",2,"San Joaquin",0
"98",2,"San Luis Obispo",0
"99",2,"San Mateo",0
"100",2,"Santa Barbara",0
"101",2,"Santa Clara",10.1975670682588
"102",2,"Santa Cruz",0
"103",2,"Shasta",0
"104",2,"Sierra",0
"105",2,"Siskiyou",0
"106",2,"Solano",0
"107",2,"Sonoma",0
"108",2,"Stanislaus",0
"109",2,"Sutter",0
"110",2,"Tehama",0
"111",2,"Trinity",0
"112",2,"Tulare",0
"113",2,"Tuolumne",0
"114",2,"Ventura",0
"115",2,"Yolo",0
